date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:05	119632/119632	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:38:50%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=5	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index8e42.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:41:46	119623/119623	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:39:41%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=7	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index41b7.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:41:58	119623/119623	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:40:36%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=8	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index94a5.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:43:02	119624/119624	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:40:13%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=6	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index267f.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:43:02	119627/119627	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:41:05%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=10	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index6944.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:43:08	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:41:59%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=11	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexa858.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:43:08	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.8.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:44:12	119624/119624	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:41:46%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=9	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexfc06.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:44:19	119634/119634	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:43:03%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=13	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexfa40.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:44:28	119627/119627	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:43:02%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=12	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index04d3.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:44:34	119636/119636	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:43:08%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=14	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/index360b.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:44:34	0/-1	---M--	301	error ('')			http://jacksbox.de/stuff/jquery-fractionslider/plugin-methods	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/plugin-methods.9.delayed	(from http://jacksbox.de/stuff/jquery-fractionslider/)
11:45:50	119626/119626	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202013%2009:44:12%20GMT	http://jacksbox.de/stuff/jquery-fractionslider/?replytocom=17	C:/Users/ZORAN/Downloads/fractionSlider/fractionSlider/jacksbox.de/stuff/jquery-fractionslider/indexa79a.html	(from http://jacksbox.de/stuff/jquery-fractionslider/)
